Date,equity
2019-07-29,1.0
2019-07-30,1.0
2019-07-31,1.0
2019-08-01,1.0
2019-08-02,1.0
2019-08-05,1.0
2019-08-06,1.0
2019-08-07,1.0
2019-08-08,1.0
2019-08-09,1.0
2019-08-12,1.0
2019-08-13,1.0
2019-08-14,1.0
2019-08-15,1.0
2019-08-16,1.0
2019-08-19,1.0
2019-08-20,1.0
2019-08-21,1.0
2019-08-22,0.9999942046068069
2019-08-23,1.000241313925179
2019-08-26,1.0003232078304873
2019-08-27,1.0003391576519933
2019-08-28,1.0003391576519933
2019-08-29,1.0003391576519933
2019-08-30,1.0003391576519933
2019-09-03,1.0003391576519933
2019-09-04,1.0003391576519933
2019-09-05,1.0003391576519933
2019-09-06,1.0003391576519933
2019-09-09,1.0003391576519933
2019-09-10,1.0003391576519933
2019-09-11,1.0003391576519933
2019-09-12,1.0003391576519933
2019-09-13,1.0003391576519933
2019-09-16,1.0003391576519933
2019-09-17,1.0003391576519933
2019-09-18,1.0003391576519933
2019-09-19,1.0003391576519933
2019-09-20,1.0003391576519933
2019-09-23,1.0003391576519933
2019-09-24,1.0003391576519933
2019-09-25,1.0003391576519933
2019-09-26,1.0003391576519933
2019-09-27,1.0003334460177988
2019-09-30,1.0001970497263069
2019-10-01,1.0001970497263069
2019-10-02,1.0001970497263069
2019-10-03,1.0001970497263069
2019-10-04,1.0001970497263069
2019-10-07,1.0001970497263069
2019-10-08,1.0001970497263069
2019-10-09,1.0001970497263069
2019-10-10,1.0001970497263069
2019-10-11,1.0001970497263069
2019-10-14,1.0001970497263069
2019-10-15,1.0001970497263069
2019-10-16,1.0001970497263069
2019-10-17,1.0001970497263069
2019-10-18,1.0001970497263069
2019-10-21,1.0001970497263069
2019-10-22,1.0001970497263069
2019-10-23,1.0001911843287692
2019-10-24,0.9989099750000427
2019-10-25,0.99902072235805
2019-10-28,0.9980002322946295
2019-10-29,0.9971443830167611
2019-10-30,0.9967258633029557
2019-10-31,0.9967258633029557
2019-11-01,0.9967258633029557
2019-11-04,0.9967258633029557
2019-11-05,0.9967258633029557
2019-11-06,0.9967258633029557
2019-11-07,0.9967258633029557
2019-11-08,0.9967258633029557
2019-11-11,0.9967258633029557
2019-11-12,0.9967258633029557
2019-11-13,0.9967258633029557
2019-11-14,0.9967258633029557
2019-11-15,0.9967258633029557
2019-11-18,0.9967258633029557
2019-11-19,0.9967179030739262
2019-11-20,0.9968042606443739
2019-11-21,0.9968042606443739
2019-11-22,0.9967963942509442
2019-11-25,0.9969850925758474
2019-11-26,0.9969850925758474
2019-11-27,0.9969850925758474
2019-11-29,0.9969850925758474
2019-12-02,0.9969850925758474
2019-12-03,0.9969850925758474
2019-12-04,0.9969850925758474
2019-12-05,0.9969850925758474
2019-12-06,0.9969850925758474
2019-12-09,0.9969850925758474
2019-12-10,0.9969850925758474
2019-12-11,0.9969850925758474
2019-12-12,0.9969850925758474
2019-12-13,0.9969850925758474
2019-12-16,0.9969850925758474
2019-12-17,0.9969850925758474
2019-12-18,0.9969850925758474
2019-12-19,0.9969850925758474
2019-12-20,0.9969850925758474
2019-12-23,0.9969850925758474
2019-12-24,0.9969850925758474
2019-12-26,0.9969850925758474
2019-12-27,0.9969850925758474
2019-12-30,0.9969850925758474
2019-12-31,0.9969850925758474
2020-01-02,0.9969850925758474
2020-01-03,0.9969850925758474
2020-01-06,0.9969850925758474
2020-01-07,0.9969850925758474
2020-01-08,0.9969850925758474
2020-01-09,0.9969850925758474
2020-01-10,0.9969850925758474
2020-01-13,0.9969850925758474
2020-01-14,0.9969850925758474
2020-01-15,0.9969850925758474
2020-01-16,0.9969850925758474
2020-01-17,0.9969850925758474
2020-01-21,0.9969850925758474
2020-01-22,0.9969850925758474
2020-01-23,0.9969850925758474
2020-01-24,0.9969850925758474
2020-01-27,0.9969850925758474
2020-01-28,0.9969850925758474
2020-01-29,0.9969850925758474
2020-01-30,0.9969850925758474
2020-01-31,0.9969850925758474
2020-02-03,0.9969850925758474
2020-02-04,0.9969850925758474
2020-02-05,0.9969850925758474
2020-02-06,0.9969850925758474
2020-02-07,0.9969850925758474
2020-02-10,0.9969850925758474
2020-02-11,0.9969850925758474
2020-02-12,0.9969850925758474
2020-02-13,0.9969850925758474
2020-02-14,0.9969850925758474
2020-02-18,0.9969850925758474
2020-02-19,0.9969850925758474
2020-02-20,0.9969850925758474
2020-02-21,0.9969850925758474
2020-02-24,0.9969850925758474
2020-02-25,0.9969850925758474
2020-02-26,0.9969850925758474
2020-02-27,0.9969850925758474
2020-02-28,0.9969850925758474
2020-03-02,0.9969850925758474
2020-03-03,0.9969850925758474
2020-03-04,0.9969850925758474
2020-03-05,0.9969850925758474
2020-03-06,0.9969850925758474
2020-03-09,0.9969850925758474
2020-03-10,0.9969850925758474
2020-03-11,0.9969850925758474
2020-03-12,0.9969850925758474
2020-03-13,0.9969850925758474
2020-03-16,0.9969850925758474
2020-03-17,0.9969850925758474
2020-03-18,0.9969850925758474
2020-03-19,0.9969850925758474
2020-03-20,0.9969850925758474
2020-03-23,0.9969850925758474
2020-03-24,0.9969850925758474
2020-03-25,0.9969850925758474
2020-03-26,0.9969850925758474
2020-03-27,0.9969850925758474
2020-03-30,0.9969850925758474
2020-03-31,0.9969850925758474
2020-04-01,0.9969850925758474
2020-04-02,0.9969850925758474
2020-04-03,0.9969850925758474
2020-04-06,0.9969850925758474
2020-04-07,0.9969850925758474
2020-04-08,0.9969850925758474
2020-04-09,0.9969850925758474
2020-04-13,0.9969850925758474
2020-04-14,0.9969850925758474
2020-04-15,0.9969850925758474
2020-04-16,0.9969850925758474
2020-04-17,0.9969850925758474
2020-04-20,0.9969850925758474
2020-04-21,0.9969803940329073
2020-04-22,0.9974602613907362
2020-04-23,0.997391674788417
2020-04-24,0.997391674788417
2020-04-27,0.997391674788417
2020-04-28,0.997391674788417
2020-04-29,0.997391674788417
2020-04-30,0.997391674788417
2020-05-01,0.997391674788417
2020-05-04,0.997391674788417
2020-05-05,0.997391674788417
2020-05-06,0.997391674788417
2020-05-07,0.997391674788417
2020-05-08,0.997391674788417
2020-05-11,0.997391674788417
2020-05-12,0.997391674788417
2020-05-13,0.997391674788417
2020-05-14,0.997391674788417
2020-05-15,0.997391674788417
2020-05-18,0.9973836956550186
2020-05-19,0.9977786601829458
2020-05-20,0.9976539957852342
2020-05-21,0.9976539957852342
2020-05-22,0.9976539957852342
2020-05-26,0.9976539957852342
2020-05-27,0.9976539957852342
2020-05-28,0.9976539957852342
2020-05-29,0.9976539957852342
2020-06-01,0.9976539957852342
2020-06-02,0.9976539957852342
2020-06-03,0.9976539957852342
2020-06-04,0.9976539957852342
2020-06-05,0.9976539957852342
2020-06-08,0.9976539957852342
2020-06-09,0.9976539957852342
2020-06-10,0.9976539957852342
2020-06-11,0.9976539957852342
2020-06-12,0.9976539957852342
2020-06-15,0.9976539957852342
2020-06-16,0.9976539957852342
2020-06-17,0.9976539957852342
2020-06-18,0.9976539957852342
2020-06-19,0.9976539957852342
2020-06-22,0.9976539957852342
2020-06-23,0.9976539957852342
2020-06-24,0.9976539957852342
2020-06-25,0.9976539957852342
2020-06-26,0.9976539957852342
2020-06-29,0.9976480922346685
2020-06-30,0.997506398693403
2020-07-01,0.9974230414669236
2020-07-02,0.9975124248232445
