Date,equity
2024-01-04,1.0
2024-01-05,1.0000679039273095
2024-01-08,1.0006104641126263
2024-01-09,1.0006201478325458
2024-01-10,1.0000069829442175
2024-01-11,1.0000682438905932
2024-01-12,0.9999475455811685
2024-01-16,1.0004274347939195
2024-01-17,0.9984486900346389
2024-01-18,0.9983650822106701
2024-01-19,0.9977396478695985
2024-01-22,0.9984198611892849
2024-01-23,0.9999986737172746
2024-01-24,0.9983163979624946
2024-01-25,0.9966559433427826
2024-01-26,0.9987370827768266
2024-01-29,0.9982607559594763
2024-01-30,0.9976310090294146
2024-01-31,0.997731471151003
2024-02-01,0.9988222777824012
2024-02-02,1.0001585030545415
2024-02-05,1.000615877522941
2024-02-06,1.000615877522941
2024-02-07,1.000615877522941
2024-02-08,1.0005829478691863
2024-02-09,0.9991779713044047
2024-02-12,0.9979998478257653
2024-02-13,1.0010855944469519
2024-02-14,0.9980631343476166
2024-02-15,0.9976214518821596
2024-02-16,0.9975537848223955
2024-02-20,1.003879291715716
2024-02-21,1.0031927474178375
2024-02-22,1.0021424527792553
2024-02-23,1.002107337954641
2024-02-26,1.0024542693700544
2024-02-27,1.0033339054812138
2024-02-28,1.0033390532973239
2024-02-29,1.0033030313103128
2024-03-01,1.0052614294156854
2024-03-04,1.004160844412686
2024-03-05,1.006274997914949
2024-03-06,1.002640702964592
2024-03-07,1.007969400298236
2024-03-08,1.0071973351406083
2024-03-11,1.0031546055795055
2024-03-12,1.0070923299192462
2024-03-13,1.0108567380615214
2024-03-14,1.0053464270211832
2024-03-15,1.0046525383717961
2024-03-18,1.0029040622551486
2024-03-19,1.0080627575677175
2024-03-20,1.019272565261004
2024-03-21,1.0222866896015015
2024-03-22,1.0258807028162078
2024-03-25,1.0260457687960218
2024-03-26,1.0259092631286082
2024-03-27,1.0244849436901358
2024-03-28,1.0247760798872418
2024-04-01,1.02669128392027
2024-04-02,1.0294580424647044
2024-04-03,1.029400475253934
2024-04-04,1.0281929531017493
2024-04-05,1.033712694948845
2024-04-08,1.033668428405925
2024-04-09,1.033622789355741
2024-04-10,1.0329993565108924
2024-04-11,1.0316490903584288
